sNoEmplacement,sCodeAutocollant
A024,CH-AA
A024,MX-01
A024,MX-02
A024,PC-PI
A024,PC-VS
A024,ZY-35
A025,CH-AA
A025,MX-01
A025,MX-02
A025,PC-PI
A025,PC-VS
A025,ZY-35
A026,CH-AA
A026,MX-01
A026,MX-02
A026,PC-PI
A026,ZY-35
A027,CH-AA
A027,MX-01
A027,MX-02
A027,PC-PI
A027,ZY-35
A028,CH-AA
A028,MX-01
A028,MX-02
A028,PC-PI
A028,ZY-35
A029,CH-AA
A029,MX-01
A029,MX-02
A029,PC-PI
A029,ZY-35
A030,CH-AA
A030,MX-01
A030,MX-02
A030,PC-PI
A030,ZY-35
A031,CH-AA
A031,MX-01
A031,MX-02
A031,PC-PI
A031,ZY-35
A032,CH-AA
A032,MX-01
A032,MX-02
A032,PC-PI
A032,ZY-35
A042,CH-AA
A042,MX-01
A042,MX-02
A042,PC-PI
A042,ZY-51
A043,CH-AA
A043,MX-01
A043,MX-02
A043,PC-PI
A043,ZY-51
A044,CH-AA
A044,MX-01
A044,MX-02
A044,PC-PI
A044,ZY-51
A045,CH-AA
A045,MX-01
A045,MX-02
A045,PC-PI
A045,ZY-51
A046,CH-AA
A046,MX-01
A046,MX-02
A046,PC-PI
A046,ZY-51
A133,CH-AA
A133,MX-01
A133,MX-02
A133,PC-PI
A133,ZY-14
A134,CH-AA
A134,MX-01
A134,MX-02
A134,PC-PI
A134,ZY-14
A135,CH-AA
A135,MX-01
A135,MX-02
A135,PC-PI
A135,ZY-14
A136,CH-AA
A136,MX-01
A136,MX-02
A136,PC-PI
A136,ZY-14
A137,CH-AA
A137,MX-01
A137,MX-02
A137,PC-PI
A137,ZY-14
A138,CH-AA
A138,MX-01
A138,MX-02
A138,PC-PI
A138,ZY-14
A158,CH-AA
A158,MX-01
A158,MX-02
A158,PC-PI
A158,ZZ-69
A159,CH-AA
A159,MX-01
A159,MX-02
A159,PC-PI
A159,ZZ-69
A160,CH-AA
A160,MX-01
A160,MX-02
A160,PC-PI
A160,ZZ-69
A161,CH-AA
A161,MX-01
A161,MX-02
A161,PC-PI
A161,ZZ-69
A167,CH-AA
A167,MX-01
A167,MX-02
A167,PC-PI
A167,ZZ-69
A168,CH-AA
A168,MX-01
A168,MX-02
A168,PC-PI
A168,ZZ-69
A169,CH-AA
A169,MX-01
A169,MX-02
A169,PC-PI
A169,ZZ-69
A170,CH-AA
A170,MX-01
A170,MX-02
A170,PC-PI
A170,ZZ-69
A171,CH-AA
A171,MX-01
A171,MX-02
A171,PC-PI
A171,ZZ-69
A172,CH-AA
A172,MX-01
A172,MX-02
A172,PC-PI
A172,ZZ-69
A173,CH-AA
A173,MX-01
A173,MX-02
A173,PC-PI
A173,ZZ-69
A174,CH-AA
A174,MX-01
A174,MX-02
A174,PC-PI
A174,ZZ-69
A175,CH-AA
A175,MX-01
A175,MX-02
A175,PC-PI
A175,ZZ-69
A176,CH-AA
A176,MX-01
A176,MX-02
A176,PC-PI
A176,ZZ-69
A190,CH-AA
A190,MX-01
A190,MX-02
A190,PC-PI
A190,ZZ-69
A194,CH-AA
A194,MX-01
A194,MX-02
A194,PC-PI
A194,ZZ-69
A195,CH-AA
A195,MX-01
A195,MX-02
A195,PC-PI
A195,ZZ-69
A196,CH-AA
A196,MX-01
A196,MX-02
A196,PC-PI
A196,ZZ-69
A204,CH-AA
A204,MX-01
A204,MX-02
A204,PC-PI
A204,ZZ-69
A205,CH-AA
A205,MX-01
A205,MX-02
A205,PC-PI
A205,ZZ-69
A207,CH-AA
A207,MX-01
A207,MX-02
A207,PC-PI
A207,ZZ-69
A208,CH-AA
A208,MX-01
A208,MX-02
A208,PC-PI
A208,ZZ-69
A209,CH-AA
A209,MX-01
A209,MX-02
A209,PC-PI
A209,ZZ-69
A214,CH-AA
A214,MX-01
A214,MX-02
A214,PC-PI
A214,ZZ-69
A217,CH-AA
A217,MX-01
A217,MX-02
A217,PC-PI
A217,ZZ-69
A218,CH-AA
A218,MX-01
A218,MX-02
A218,PC-PI
A218,ZZ-69
A219,CH-AA
A219,MX-01
A219,MX-02
A219,PC-PI
A219,ZZ-69
A220,CH-AA
A220,MX-01
A220,MX-02
A220,PC-PI
A220,ZZ-69
A221,CH-AA
A221,MX-01
A221,MX-02
A221,PC-PI
A221,ZZ-69
A237,CH-AA
A237,MX-01
A237,MX-02
A237,PC-PI
A237,ZZ-69
A238,CH-AA
A238,MX-01
A238,MX-02
A238,PC-PI
A238,PC-VS
A238,ZZ-69
A239,CH-AA
A239,MX-01
A239,MX-02
A239,PC-PI
A239,PC-VS
A239,ZZ-69
A240,CH-AA
A240,MX-01
A240,MX-02
A240,PC-PI
A240,PC-VE
A240,ZZ-69
A241,CH-AA
A241,MX-01
A241,MX-02
A241,PC-PI
A241,PC-VE
A241,ZZ-69
A242,CH-AA
A242,MX-01
A242,MX-02
A242,PC-PI
A242,ZZ-69
A258,CH-AA
A258,MX-01
A258,MX-02
A258,PC-PI
A258,PC-VE
A258,ZY-14
A259,CH-AA
A259,MX-01
A259,MX-02
A259,PC-PI
A259,PC-VE
A259,ZY-14
A260,CH-AA
A260,MX-01
A260,MX-02
A260,PC-PI
A260,ZY-14
A261,CH-AA
A261,MX-01
A261,MX-02
A261,PC-PI
A261,ZY-14
A265,CH-AA
A265,MX-01
A265,MX-02
A265,PC-PI
A265,ZY-14
A266,CH-AA
A266,MX-01
A266,MX-02
A266,PC-PI
A266,ZY-14
A267,CH-AA
A267,MX-01
A267,MX-02
A267,PC-PI
A267,ZY-14
A273,CH-AA
A273,MX-01
A273,MX-02
A273,PC-PI
A273,ZY-14
A281,CH-AA
A281,MX-01
A281,MX-02
A281,PC-PI
A281,ZY-14
A282,CH-AA
A282,MX-01
A282,MX-02
A282,PC-PI
A282,ZY-14
A283,CH-AA
A283,MX-01
A283,MX-02
A283,PC-PI
A283,ZY-14
A284,CH-AA
A284,MX-01
A284,MX-02
A284,PC-PI
A284,ZY-14
A285,CH-AA
A285,MX-01
A285,MX-02
A285,PC-PI
A285,ZY-14
A286,CH-AA
A286,MX-01
A286,MX-02
A286,PC-PI
A286,ZY-14
A290,CH-AA
A290,MX-01
A290,MX-02
A290,PC-PI
A290,ZY-14
A291,CH-AA
A291,MX-01
A291,MX-02
A291,PC-PI
A291,ZY-14
A292,CH-AA
A292,MX-01
A292,MX-02
A292,PC-PI
A292,ZY-14
A293,CH-AA
A293,MX-01
A293,MX-02
A293,PC-PI
A293,ZY-14
A294,CH-AA
A294,MX-01
A294,MX-02
A294,PC-PI
A294,ZY-14
A295,CH-AA
A295,MX-01
A295,MX-02
A295,PC-PI
A295,ZY-14
A300,CH-AA
A300,MX-01
A300,MX-02
A300,PC-PI
A300,ZY-14
A301,CH-AA
A301,MX-01
A301,MX-02
A301,PC-PI
A301,ZY-14
A302,CH-AA
A302,MX-01
A302,MX-02
A302,PC-PI
A302,ZY-14
A303,CH-AA
