Name,Type,DateDebut,DateFin,maxHeures
AM-HP,U,0101,3112,2
AM-HR,U,0101,3112,2
AP-HP,U,0101,3112,2
AP-HR,U,0101,3112,2
AQ-HP,U,0101,3112,2
AQ-HR,U,0101,3112,2
AU-JD,U,0101,3112,2
AU-JQ,U,0101,3112,8
CC-AA,U,0101,3112,2
CC-AW,U,0101,3112,2
CC-BA,U,0101,3112,2
CC-SX,U,0101,3112,2
CH-AA,U,0101,3112,2
CH-AC,U,0101,3112,2
CH-AW,U,0101,3112,2
CH-RT,U,0101,3112,2
CH-RX,U,0101,3112,12
CH-SX,U,0101,3112,2
CH-TT,U,0101,3112,24
CH-TX,U,0101,3112,9
CH-VA,U,0101,3112,12
CH-VB,U,0101,3112,12
CH-ZA,U,0101,3112,11
CH-ZC,U,0101,3112,12
CH-ZD,U,0101,3112,3
CH-ZE,U,0101,3112,2
CH-ZY,U,0101,3112,2
CI-AC,I,0101,3112,0
CI-AF,I,0101,3112,0
CI-AK,I,0101,3112,0
CI-AL,I,0101,3112,0
CI-AQ,I,0101,3112,0
CI-AV,I,0101,3112,0
CI-DA,I,0101,3112,0
CI-DB,I,0101,3112,0
CI-DC,I,1506,1509,0
CI-DE,I,0101,3112,0
CI-NA,I,0101,3112,0
CI-PB,I,0101,3112,0
CI-PI,I,0101,3112,0
CI-QG,I,0101,3112,0
CI-QN,I,0101,3112,0
CI-QO,I,0101,3112,0
CI-QX,I,0101,3112,0
CI-QY,I,0101,3112,0
CI-RG,I,0101,3112,0
CI-SD,I,0101,3112,0
CI-SE,I,0101,3112,0
CI-SF,I,0101,3112,0
CI-SH,I,0101,3112,0
CI-SK,I,0101,3112,0
CI-SL,I,0101,3112,0
CI-SU,I,0104,0112,0
CI-SV,I,0101,3112,0
CI-SX,I,0101,3112,0
CI-TC,I,0101,3112,0
CI-TD,I,0101,3112,0
CI-TE,I,0101,3112,0
CP-AA,U,0101,3112,2
CR-AY,R,0101,3112,0
CR-QF,R,0101,3112,0
CR-QN,R,0101,3112,0
CR-QO,R,0101,3112,0
CR-RN,R,0101,3112,0
CR-SK,R,0101,3112,0
CU-AA,U,0101,3112,2
CU-AC,U,0101,3112,2
GR-AA,G,0101,3112,0
GR-AC,G,0101,3112,0
GR-AD,G,0101,3112,0
GR-AE,G,0101,3112,0
GR-AJ,G,0101,3112,0
IN-AA,I,0101,3112,0
IN-AB,I,0101,3112,0
IN-AC,I,0101,3112,0
IN-AD,I,0101,3112,0
IN-AE,I,0101,3112,0
