PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA
1,"INTERDICTION DE STAT. S3R (GR. R) 9H - 3H","R-XD"
2,"\A 07h-19h","AD-JA"
3,"\A 22h-07h","AD-NM"
7,"\A 08h-21h30","AD-TB"
10,"\A AUX CAMIONS","AD-TE"
11,"\A EN TOUT TEMPS","AD-TT"
12,"\A POMPIER URGENCE","AD-TU"
13,"\A 08h-16h JOURS D'ECOLE","AE-JB"
14,"\A 08h-17h JOURS D'ECOLE","AE-JC"
15,"\A 07h30-16h JOURS D'ECOLE","AE-JD"
16,"\A 07h30-17h JOURS D`ECOLE","AE-JE"
17,"\A 07h-18h   JOURS D'ECOLE","AE-JF"
18,"\A 08h-9h30 ET 15h-16h JOURS D`ECOLE","AE-QA"
19,"\A RESERVE AUTOBUS 07h-09h30 LUN. AU VEN.","AR-AA"
21,"\A RESERVE AUTOBUS 15h-18h30 LUN. AU VEN.","AR-PA"
23,"\A RESERVE AUTOBUS 06h-10h ET 15h-19h LUN. AU VEN.","AR-QF"
24,"\A RESERVE AUTOBUS","AR-TT"
26,"\A 07h-09h30 LUN. AU VEN.","AV-AA"
27,"\A 08h-09h30 LUN. AU VEN.","AV-AB"
28,"\A 07h-09h LUN. AU VEN.","AV-AC"
30,"\A 05h30-09h LUN. AU VEN.","AV-AE"
31,"\A 06h-09h LUN. AU VEN.","AV-AF"
32,"\A 07h30-09h30 LUN. AU VEN.","AV-AG"
33,"\A 06h-09h30 LUN. AU VEN.","AV-AH"
34,"\A 06h-10h LUN. AU VEN.","AV-AI"
35,"\A 08h-09h  LUN. AU VEN.","AV-AJ"
36,"\A 06h30-09h LUN. AU VEN.","AV-AK"
38,"\A 06h30-09h30  15h30-18h30 LUN. AU VEN.","AV-DB"
39,"\A 06h30-09h30 LUN. AU VEN.","AV-DC"
42,"\A 06h30-09h30  16h-18h LUNDI AU VENDREDI","AV-DF"
43,"\A 06h30-09h30  16h-18h30 LUN. AU VEN.","AV-DG"
44,"\A 06h-09h30  15h-18h30 LUNDI AU VENDREDI","AV-DH"
45,"\A 07h-19h LUN. AU VEN.","AV-JA"
47,"\A 07h-22h LUN. AU VEN.","AV-JC"
48,"\A 08h-19h LUN. AU VEN.","AV-JD"
49,"\A 07h30-16h LUN. AU VEN.","AV-JE"
50,"\A 08h-23h LUN. AU VEN.","AV-JF"
51,"\A 08h-16h LUN A VEN","AV-JG"
52,"\A 07h-18h LUN. AU VEN.","AV-OC"
53,"\A 08h-18h  LUN. AU VEN.","AV-OD"
54,"\A 15h30-17h30 LUN. AU VEN.","AV-PB"
55,"\A 16h-18h30 LUN. AU VEN.","AV-PF"
56,"\A 16h-18h LUN. AU VEN.","AV-PJ"
57,"\A 15h30-18h LUN. AU VEN.","AV-PK"
58,"\A 15h30-18h30 LUN. AU VEN.","AV-PL"
60,"\A 15h-19h LUN. AU VEN.","AV-PN"
61,"\A 15h30-19h LUN. AU VEN.","AV-PO"
62,"\A 15h-18h30 LUN. AU VEN.","AV-PP"
63,"\A 06h-09h  15h-18h30 LUN. AU VEN.","AV-QA"
64,"\A 07h-09h30  16h-18h30 LUN. AU VEN.","AV-QB"
65,"\A 08h-09h30  16h-18h30 LUN. AU VEN.","AV-QC"
66,"\A 07h-09h30  16h-18h LUN. AU VEN.","AV-QD"
67,"\A 08h-09h30  16h-18h LUN. AU VEN.","AV-QE"
69,"\A 06h-09h30  15h-19h LUN. AU VEN.","AV-QG"
70,"\A 05h30-09h  16h-18h30 LUN. AU VEN.","AV-QH"
71,"\A 07h-09h  16h-18h LUN. AU VEN.","AV-QI"
72,"\A 06h-09h  15h30-18h LUN. AU VEN.","AV-QJ"
73,"\A 07h-09h30  15h30-17h30 LUN. AU VEN.","AV-QK"
74,"\A 07h-09h30  15h30-18h30 LUN. AU VEN.","AV-QL"
80,"\A 06h30-09h30  15h30-17h30 LUN. AU VEN.","AV-QR"
81,"\A 05h30-09h  15h-19h LUN. AU VEN.","AV-QS"
83,"\A 07h-09h  16h-18h30 LUN. AU VEN.","AV-QU"
84,"\A 06h-09h  16h-18h LUN. AU VEN.","AV-QV"
85,"\A 06h-09h30  15h30-19h LUN. AU VEN.","AV-QW"
87,"\A 08h-09h30  15h-19h LUN. AU VEN.","AV-QY"
88,"\A 07h-09h30  15h-19h LUN. AU VEN.","AV-QZ"
89,"\A 07h-09h30  15h-18h30 LUN. AU VEN.","AV-RA"
90,"\A 06h-10h  15h30-19h30 LUN. AU VEN.","AV-RB"
