id,permit_permit_id,contractnumber,boroughid,permitcategory,currentstatus,duration_start_date,duration_end_date,reason_category,occupancy_name,submittercategory,organizationname,duration_days_mon_active,duration_days_mon_all_day_round,duration_days_tue_active,duration_days_tue_all_day_round,duration_days_wed_active,duration_days_wed_all_day_round,duration_days_thu_active,duration_days_thu_all_day_round,duration_days_fri_active,duration_days_fri_all_day_round,duration_days_sat_active,duration_days_sat_all_day_round,duration_days_sun_active,duration_days_sun_all_day_round,duration_days_sat_start_time,duration_days_sat_end_time,duration_days_mon_start_time,duration_days_mon_end_time,duration_days_tue_start_time,duration_days_tue_end_time,duration_days_wed_start_time,duration_days_wed_end_time,duration_days_thu_start_time,duration_days_thu_end_time,duration_days_fri_start_time,duration_days_fri_end_time,duration_days_sun_start_time,duration_days_sun_end_time,load_date,longitude,latitude
"654277b8021cab001920d32e","OCC-2311NX01306852",,"Ville-Marie","Travaux","Permis émis","2022-04-23T20:00:00Z","2027-07-31T19:59:59Z","Construction/rénovation sans excavation","Ruelle","Organisation publique ou son sous-traitant","Réfection Ville Marie SEP","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-10-29T19:06:02Z",-73.55828628138067,45.507781965135976
"6542781b33c2e4001965cfa8","OCC-2311CN01296163",,"Ville-Marie","Travaux","Permis émis","2022-04-23T20:00:00Z","2027-07-31T19:59:59Z","Construction/rénovation sans excavation","Ruelle","Organisation publique ou son sous-traitant","Réfection Ville Marie SEP","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-10-29T19:06:02Z",-73.55895598269238,45.50703373998367
"6722842681073d0019ed46ca","OCC-2410IP26341911","1234","Verdun","Travaux","Permis émis","2024-10-30T20:00:00Z","2027-10-30T19:59:59Z","Autre","Parc Duquette","Entrepreneur sous contrat avec la Ville de Montréal","PME MTL Grand Sud-Ouest","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-11-02T00:01:24Z",-73.57532216878346,45.465649419534
"6740a6236669d60012e1746b","OCC-2411YW18727818",,"Verdun","Travaux","Permis émis","2024-11-24T19:00:00Z","2027-11-12T18:59:59Z","Construction/rénovation sans excavation","Gordon entre Wellington et Verdun","Organisation publique ou son sous-traitant","MGB Associés Inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-11-24T00:01:25Z",-73.56810097062612,45.46104407577799
"69f8bda24b167600129ca8e8","OCC-2605XU03163117",,"Ville-Marie","Travaux","Permis émis","2025-11-27T19:00:00Z","2028-01-11T18:59:59Z","Autre","Atateken entre Amherst et Amherst","Ville de Montréal",,"t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2026-05-06T00:01:55Z",-73.55900091588008,45.51829632021025
"6983a223f9ce480012a96bab","OCC-2602RM03994455","202321","Ville-Marie","Travaux","Permis émis","2026-02-04T19:00:00Z","2026-10-02T19:59:59Z","Égouts et aqueducs - Réhabilitation","Dubuc entre Bordeaux et De Lorimier","Entrepreneur sous contrat avec la Ville de Montréal","Les Excavations Lafontaine inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2026-02-07T00:01:44Z",-73.55863813349296,45.52817518364781
"6984c49cf9ce480012a97b9e","OCC-2602TK04066355",,"Côte-des-Neiges-Notre-Dame-de-Grâce","Travaux","Permis émis","2026-02-10T19:00:00Z","2026-12-18T18:59:59Z","Construction/rénovation sans excavation","Mountain Sights entre Édouard-Montpetit et Dupuis",,,"t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2026-02-07T00:01:44Z",-73.6345306729002,45.48779142447865
"6813e70876af7100126ee0ce","OCC-2505FC01366077",,"Saint-Léonard","Travaux","Permis émis","2025-05-03T20:00:00Z","2028-01-01T18:59:59Z","Autre","Langelier entre Langelier et Jean-Talon","Organisation publique ou son sous-traitant","Société de transports de Montréal (STM) Prolongement de la ligne bleue","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2025-05-24T00:01:30Z",-73.57286958107638,45.5915577009685
"682f8aac75a0c200124de9ed","OCC-2505HL19479779",,"Saint-Léonard","Travaux","Permis émis","2025-05-22T20:00:00Z","2028-01-01T18:59:59Z","Autre","Ruelle","Organisation publique ou son sous-traitant","Société de transports de Montréal (STM) Prolongement de la ligne bleue","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2025-05-25T00:01:26Z",-73.58817203345039,45.57092434711771
"6a95a4c98d981b0012f71d09","OCC-2608JB26496088","2026020","Mercier-Hochelaga-Maisonneuve","Travaux","Permis émis","2026-08-23T20:00:00Z","2026-09-29T19:59:59Z","Autre","Souligny entre Saint-Émile et Lapointe","Entrepreneur sous contrat avec la Ville de Montréal","Demix construction","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2026-09-02T00:02:08Z",-73.52027763366759,45.59612180227518
