ID_STA;ARRONDISSEMENT;BOROUGH;NBR_PLA;X;Y;JURIDICTION;EMPLACEMENT;LOCATION;HEURES;HOURS;NOTE_FR;NOTE_EN;TYPE_PAY
174;Ahunstic-Cartierville;Ahunstic-Cartierville;200;294222,12;5045614,27;Agence mobilité durable;Complexe sportif Claude-Robillard no. 341 1000, avenue Émile-Journault Montréal (Québec)  H2M 2E7;Complexe sportif Claude-Robillard no. 341 1000 Avenue Émile-Journault Montréal Québec  H2M 2E7;19:00 à 07:00;7:00 pm to 7:00 am;Sauf places réservées - Restriction de 19h à 7h;"Except reserved spaces
Restriction from 7:00 pm to 7:00 am";0
175;Ahunstic-Cartierville;Ahunstic-Cartierville;41;294247,76;5045775,93;Agence mobilité durable;Complexe sportif Claude-Robillard no. 342 1000, avenue Émile-Journault Montréal (Québec)  H2M 2E7;Complexe sportif Claude-Robillard no. 342 1000 Avenue Émile-Journault Montréal Québec  H2M 2E7;19:00 à 07:00;7:00 pm to 7:00 am;Sauf places réservées - Restriction de 19h à 7h;"Except reserved spaces
Restriction from 7:00 pm to 7:00 am";0
176;Ahunstic-Cartierville;Ahunstic-Cartierville;72;294345,35;5045861,39;Agence mobilité durable;Complexe sportif Claude-Robillard no. 343 1000, avenue Émile-Journault Montréal (Québec)  H2M 2E7;Complexe sportif Claude-Robillard no. 343 1000 Avenue Émile-Journault Montréal Québec  H2M 2E7;19:00 à 07:00;7:00 pm to 7:00 am;Sauf places réservées - Restriction de 19h à 7h;"Except reserved spaces
Restriction from 7:00 pm to 7:00 am";0
95;Anjou;Anjou;20;301198,05;5052359,10;Municipale;Aréna Chaumont  8750, avenue Chaumont Montréal (Québec)  H1K 4E8;Aréna Chaumont  8750 Avenue Chaumont Montréal Québec  H1K 4E8;06:00 à 18:00;6:00 am to 6:00 pm;;;0
94;Anjou;Anjou;20;301533,46;5051272,16;Municipale;Aréna Chénier  8200, avenue Chénier Montréal (Québec)  H1K 5E9;Aréna Chénier  8200 Avenue Chénier Montréal Québec  H1K 5E9;06:00 à 18:00;6:00 am to 6:00 pm;;;0
93;Anjou;Anjou;50;300250,57;5051329,90;Municipale;Bureau d'arrondissement d'Anjou 7701, boulevard Louis-H.-Lafontaine Montréal (Québec)  H1K 4B9;Anjou borough hall 7701 Boulevard Louis-H.-Lafontaine Montréal Québec  H1K 4B9;06:00 à 18:00;6:00 am to 6:00 pm;;;0
97;Anjou;Anjou;20;299856,59;5051834,30;Municipale;Centre Communautaire Anjou  7800, boulevard Métropolitain Est Montréal (Québec)  H1K 1A1;Centre Communautaire Anjou  7800 Boulevard Métropolitain Est Montréal Québec  H1K 1A1;06:00 à 18:00;6:00 am to 6:00 pm;;;0
96;Anjou;Anjou;20;300800,53;5052949,18;Municipale;Centre Roger-Rousseau 7501, avenue Rondeau Montréal (Québec)  H1K 2P3;Centre Roger-Rousseau 7501 Avenue Rondeau Montréal Québec H1K 2P3;06:00 à 18:00;6:00 am to 6:00 pm;;;0
92;Anjou;Anjou;20;299399,10;5051468,32;Municipale;Parc André-Laurendeau Entrée par boulevard du Haut-Anjou du 8361, avenue André-Laurendeau Montréal (Québec)  H1J 2H5;Parc André-Laurendeau Entry by Boulevard du Haut-Anjou of 8361 Avenue André-Laurendeau Montréal Québec  H1J 2H5;06:00 à 18:00;6:00 am to 6:00 pm;;;0
91;Anjou;Anjou;20;298302,08;5051493,88;Municipale;Parc Lucie-Bruneau 7051, avenue de l'Alsace Montréal (Québec)  H1J 2X8;Parc Lucie-Bruneau 7051 Avenue de l'Alsace Montréal Québec  H1J 2X8;06:00 à 18:00;6:00 am to 6:00 pm;;;0
157;Côte-des-Neiges–Notre-Dame-de-Grâce;Côte-des-Neiges–Notre-Dame-de-Grâce;30;293502,64;5039476,17;Municipale;Aréna Bill-Durnan 4988, rue Vézina Montréal (Québec)  H3W 1C1;Aréna Bill-Durnan 4988 Rue Vézina Montréal Québec  H3W 1C1;18:00 à 07:00;6:00 pm to 7:00 am;;;0
158;Côte-des-Neiges–Notre-Dame-de-Grâce;Côte-des-Neiges–Notre-Dame-de-Grâce;20;293997,88;5036859,85;Municipale;Aréna Doug-Harvey 4985, avenue West Hill Montréal (Québec)  H3X 1T6;Aréna Doug-Harvey 4985 Avenue West Hill Montréal Québec  H3X 1T6;18:00 à 07:00;6:00 pm to 7:00 am;;;0
63;Lachine;Lachine;18;289827,00;5032702,61;Municipale;Terrain Entre la rue Notre-Dame et le boulevard Saint-Joseph sur 32e Avenue Montréal (Québec)  H1A 3L2;Lot Between Rue Notre-Dame and Boulevard Saint-Joseph on 32e Avenue Montréal Québec  H1A 3L2;24 heures;24h;;;0
83;Lachine;Lachine;51;290568,00;5033368,36;Municipale;Aréna Pierre Pete Morin 1925, rue Saint-Antoine Montréal (Québec)  H8S 1V5;Aréna Pierre Pete Morin 1925 Rue Saint-Antoine Montréal Québec  H8S 1V5;24 heures;24h;;;0
69;Lachine;Lachine;48;290687,00;5032612,02;Municipale;Mairie de Lachine 40, 18e Avenue Montréal (Québec)  H8S 2N2;Lachine borough hall 40 18e Avenue Montréal Québec  H8S 2N2;24 heures;24h;;;0
65;Lachine;Lachine;21;290046,00;5032684,31;Municipale;Entre 27e Avenue et 28e Avenue 2753, boulevard Saint-Joseph Montréal (Québec)  H8S 2P2;Between 27e Avenue et 28e Avenue 2753 Boulevard Saint-Joseph Montréal Québec  H8S 2P2;24 heures;24h;;;0
70;Lachine;Lachine;47;291173,00;5032428,49;Municipale;Entre 11e Avenue et 12e Avenue Intersection 12e Avenue et boulevard Saint-Joseph Montréal (Québec)  H8S 2M7;Between 11e Avenue et 12e Avenue Intersection 12e Avenue and Boulevard Saint-Joseph Montréal Québec  H8S 2M7;24 heures;24h;;;0
67;Lachine;Lachine;32;290405,00;5032573,36;Municipale;Club de Canoë de Course 2105, boulevard Saint-Joseph Montréal (Québec)  H8S 2N7;Club de Canoë de Course 2105 Boulevard Saint-Joseph Montréal Québec  H8S 2N7;24 heures;24h;;;0
79;Lachine;Lachine;63;291258,00;5032726,71;Municipale;Stationnement Entre rue Notre-Dame, 10e Avenue, rue Saint-Louis et 11e Avenue Montréal (Québec)  H8S 3G6;Urban block Parking in urban block between Rue Notre-Dame, 10e Avenue, Rue Saint-Louis and 11e Avenue Montréal Québec  H8S 3G6;24 heures;24h;;;0
78;Lachine;Lachine;55;291403,00;5032711,27;Municipale;Stationnement Entre rue Notre-Dame, 8e Avenue, rue Saint-Louis et 9e Avenue Montréal (Québec)  H8S 3A9;Urban block Parking in urban block between Rue Notre-Dame, 8e Avenue, Rue Saint-Louis and 9e Avenue Montréal Québec  H8S 3A9;24 heures;24h;;;0
64;Lachine;Lachine;65;289884,00;5032614,15;Municipale;La maison du brasseur 2901, boulevard Saint-Joseph Montréal (Québec)  H8S 2P4;La maison du brasseur 2901 boulveard Saint-Joseph Montréal Québec  H8S 2P4;24 heures;24h;;;0
68;Lachine;Lachine;19;290655,00;5032648,46;Municipale;Mairie de Lachine Entrée par 18e Avenue Montréal (Québec)  H8S 3P6;Lachine borough hall Entry by 18e Avenue Montréal Québec  H8S 3P6;24 heures;24h;;;0
72;Lachine;Lachine;25;291789,00;5032184,53;Municipale;Musée de Lachine 1, chemin du Musée Montréal (Québec)  H8S 4H3;Musée de Lachine 1 Chemin du Musée Montréal Québec  H8S 4H3;24 heures;24h;;;0
66;Lachine;Lachine;26;290244,00;5032688,50;Municipale;Parc des Saules 2391, boulevard Saint-Joseph Montréal (Québec)  H8S 2N7;Parc des Saules 2391 Boulevard Saint-Joseph Montréal Québec  H8S 2N7;24 heures;24h;;;0
71;Lachine;Lachine;142;291312,00;5032078,30;Municipale;Parc René-Lévesque 398, chemin du Canal Montréal (Québec)  H8S 4G2;Parc René-Lévesque 398 Chemin du Canal Montréal Québec  H8S 4G2;24 heures;24h;;;0
